class,attendance,prestudy,homework,mid,final,total,grade
2,0,4.8,5.4,0,0,10.2,F
2,10,13.4,13.1,8,9.1,53.6,C0
2,10,15,24.1,14.8,26.4,90.3,A+
2,8,14.6,16.6,5.6,4.5,49.3,C0
2,10,14.8,18.2,4.3,11.8,59.1,C+
2,0,13.7,22.2,13.5,13.6,63,C+
2,10,15,21.9,12.7,20.9,80.5,A0
2,10,15,24,9.2,20.9,79.1,B+
2,10,14.9,23.8,16.1,16.4,81.2,A0
2,10,14.4,16.7,8.4,10.9,60.4,C+
2,10,14.8,21.8,8.8,13.6,69,B0
2,10,14.9,23.6,15.1,20,83.6,A+
2,10,14.7,22.2,13.8,20,80.7,A0
2,9,15,24.3,15.1,14.5,77.9,B+
2,10,15,21.9,10.1,21.8,78.8,B+
2,7,14.9,24.1,16.6,21.8,84.4,A+
2,8,11.7,8.8,11.2,4.5,44.2,C0
2,10,15,21.7,12.5,16.4,75.6,B+
2,10,14.9,22.8,13.8,26.4,87.9,A+
2,9,14.9,21.5,14.4,17.3,77.1,B+
2,9,15,20.9,8.2,20,73.1,B0
2,9,14.9,22.7,14,23.6,84.2,A+
2,6,14.7,17.1,10.1,11.8,59.7,C+
2,10,14.8,23.6,14.8,16.4,79.6,A0
2,8,14.9,22.5,12,18.2,75.6,B+
2,8,14.9,20.2,14.2,8.2,65.5,C+
2,10,15,22.8,13.1,12.7,73.6,B0
2,10,15,23.5,13.1,19.1,80.7,A0
2,5,14.7,19,9.5,10.9,59.1,C+
2,10,15,23.9,10.8,17.3,77,B+
2,10,14.9,23.6,12.7,22.7,83.9,A+
2,10,14.9,23.7,13.3,17.3,79.2,B+
2,9,14.2,16.5,11.6,17.3,68.6,C+
2,10,14.6,21,10.5,20,76.1,B+
2,10,14.3,14.5,10.3,8.2,57.3,C+
2,8,14.9,22.4,12.3,18.2,75.8,B+
2,10,14.9,21.1,6.9,16.4,69.3,B0
2,3,14.6,21.1,6,11.8,56.5,C+
2,8,14.9,22.9,6.9,27.3,80,A0
2,10,14.7,22.1,14.6,15.5,76.9,B+
2,10,14.7,18.6,12.3,19.1,74.7,B0
2,8,14.9,22,16.3,19.1,80.3,A0
2,10,15,22.3,10.5,13.6,71.4,B0
2,10,15,24,10.3,20.9,80.2,A0
2,10,15,21.3,12.9,12.7,71.9,B0
2,9,14.5,19.9,11.8,20.9,76.1,B+
2,4.5,10,18.4,11.8,9.1,53.8,C0
2,10,15,24.4,12.7,22.7,84.8,A+
2,10,14.8,20.6,12.3,15.5,73.2,B0
